from,to,weight,is_significant
AAPL,AMD,0.22700516476406807,Non-Significant
AAPL,AMZN,0.30367670035390526,Significant
AAPL,GOOG,0.3437049300123498,Significant
AAPL,INTC,0.3068859242663325,Significant
AAPL,META,0.280505533092718,Non-Significant
AAPL,MSFT,0.3414057334965106,Significant
AAPL,NFLX,0.22601181091998235,Non-Significant
AAPL,NVDA,0.3025925403284014,Significant
AAPL,TSLA,0.19805228043183862,Non-Significant
AMD,AMZN,0.24618918442577212,Non-Significant
AMD,GOOG,0.2326827701787525,Non-Significant
AMD,INTC,0.2809512972589595,Non-Significant
AMD,META,0.19498458226957305,Non-Significant
AMD,MSFT,0.26295729861123274,Non-Significant
AMD,NFLX,0.20494872141014944,Non-Significant
AMD,NVDA,0.3723215581746925,Significant
AMD,TSLA,0.18184053098959102,Non-Significant
AMZN,GOOG,0.46557626548117,Significant
AMZN,INTC,0.2806907471654758,Non-Significant
AMZN,META,0.37660245865846115,Significant
AMZN,MSFT,0.3803426132627663,Significant
AMZN,NFLX,0.3417019162755369,Significant
AMZN,NVDA,0.32019611266343523,Significant
AMZN,TSLA,0.24416388837840727,Non-Significant
GOOG,INTC,0.30715724431754066,Significant
GOOG,META,0.40856207634762437,Significant
GOOG,MSFT,0.425904430702563,Significant
GOOG,NFLX,0.30540185397386976,Significant
GOOG,NVDA,0.33256738575660244,Significant
GOOG,TSLA,0.22164032148031332,Non-Significant
INTC,META,0.23807506427966904,Non-Significant
INTC,MSFT,0.3885421260402235,Significant
INTC,NFLX,0.2269240671874391,Non-Significant
INTC,NVDA,0.3903131667725411,Significant
INTC,TSLA,0.19121082610603793,Non-Significant
META,MSFT,0.29633887360166555,Non-Significant
META,NFLX,0.2808926047058636,Non-Significant
META,NVDA,0.2815022854680446,Non-Significant
META,TSLA,0.20986447619790308,Non-Significant
MSFT,NFLX,0.26033251186530615,Non-Significant
MSFT,NVDA,0.35302345450462014,Significant
MSFT,TSLA,0.2059040836473228,Non-Significant
NFLX,NVDA,0.26207617728175003,Non-Significant
NFLX,TSLA,0.2205441174033136,Non-Significant
NVDA,TSLA,0.22690577064431033,Non-Significant
